City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Taoudenni,ML,82.72,clear sky,22.6783,-3.9836,
249,East London,ZA,81.54,clear sky,-33.0153,27.9116,Tu Casa
250,Rio De Janeiro,BR,87.8,light rain,-22.9028,-43.2075,Hotel Málaga
255,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
259,Araouane,ML,82.87,clear sky,18.9048,-3.5265,
261,Matara,LK,76.66,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
262,Ilhabela,BR,75.2,light rain,-23.7781,-45.3581,Ilha Flat Hotel
263,Bo Phloi,TH,85.32,light rain,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
265,Am Timan,TD,88.32,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
267,Cap Malheureux,MU,81.09,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
269,Cidreira,BR,76.82,clear sky,-30.1811,-50.2056,Hotel Castelo
276,Labuhan,ID,78.89,overcast clouds,-6.8844,112.2051,DoubleFAG
279,Banda Aceh,ID,78.1,overcast clouds,5.5577,95.3222,Sulthan Hotel International
283,Rio Gallegos,AR,77.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
285,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
290,Ranong,TH,76.42,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
295,Aquiraz,BR,87.89,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
298,Puerto Baquerizo Moreno,EC,79.79,few clouds,-0.9,-89.6,Hotel los Algarrobos
304,Guiratinga,BR,80.4,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
305,Santa Luzia,BR,77.9,light rain,-19.7697,-43.8514,Pousada Chao Earth
308,Saldanha,ZA,82.45,broken clouds,-33.0117,17.9442,Blue Bay Lodge
320,Morondava,MG,81.28,light rain,-20.2833,44.2833,La Case Bambou
324,Viedma,AR,80.47,clear sky,-40.8135,-62.9967,Hotel Cristal
329,Anloga,GH,89.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
330,Hualmay,PE,75.09,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
